param_combination,mean_test_score,std_test_score,mean_fit_time,mean_score_time
{'max_depth': 20},-1992.809180496502,586.1167055166472,13.290691328048705,0.12397594451904297
{'max_depth': 30},-1995.5902041422821,583.1079159660623,11.504684782028198,0.107120943069458
{'max_depth': None},-1997.7678090828995,579.082219333298,14.207474851608277,0.14586663246154785
{'max_depth': 40},-1998.1944281788444,580.6255539462336,9.930071592330933,0.08842992782592773
{'max_depth': 10},-2318.410169618649,478.49431880548536,7.973839473724365,0.07475991249084472
