param_combination,mean_test_score,std_test_score,mean_fit_time,mean_score_time
{'max_depth': 20},-2005.1361979270064,151.42011713594115,16.819486618041992,0.21774578094482422
{'max_depth': 30},-2015.7161904112504,140.72046656823244,17.967242193222045,0.30953493118286135
{'max_depth': None},-2020.0786213028223,143.5423116878704,17.773705005645752,0.2398918628692627
{'max_depth': 40},-2020.1466569614295,143.8572294677796,18.690184307098388,0.27757992744445803
{'max_depth': 10},-2324.0349892014883,125.31883984329062,10.818540954589844,0.11712746620178223
